,Date,Symbol,Open,High,Low,Close,Volume,Close_Prediction
1527,02-02-2006,WIPRO,522.25,537.2,516.3,527.45,1773281,525.8363
1528,03-02-2006,WIPRO,542.0,545.4,513.35,516.0,2365525,526.2189
1529,06-02-2006,WIPRO,515.0,519.7,506.2,514.5,1073443,521.80273
1530,07-02-2006,WIPRO,517.0,525.0,516.1,520.35,1121115,517.3592
1531,08-02-2006,WIPRO,520.0,520.0,505.1,507.55,1168787,519.9803
1532,10-02-2006,WIPRO,517.6,524.0,506.45,512.35,1288070,515.06537
1533,13-02-2006,WIPRO,513.25,514.55,504.0,505.6,718127,513.5311
1534,14-02-2006,WIPRO,505.0,510.9,490.0,491.2,1281224,511.48892
1535,15-02-2006,WIPRO,503.75,505.0,490.1,495.5,774844,501.7448
1536,16-02-2006,WIPRO,496.1,500.9,488.25,490.15,904767,499.44348
1537,17-02-2006,WIPRO,494.9,506.0,492.0,499.1,1251223,497.98947
1538,20-02-2006,WIPRO,500.0,513.0,494.25,510.9,1304042,501.00708
1539,21-02-2006,WIPRO,519.7,524.9,511.05,512.85,1175285,510.0765
1540,22-02-2006,WIPRO,515.0,519.7,500.4,516.35,780279,514.8619
1541,23-02-2006,WIPRO,512.3,524.8,512.3,522.4,2003264,517.3355
1542,24-02-2006,WIPRO,522.0,522.0,514.15,516.5,623358,521.65686
1543,27-02-2006,WIPRO,519.8,521.5,515.0,520.2,610746,520.45795
1544,28-02-2006,WIPRO,521.5,524.9,514.0,520.45,1492066,520.5384
1545,01-03-2006,WIPRO,520.0,535.7,511.6,528.4,2044422,521.8506
1546,02-03-2006,WIPRO,531.6,542.0,527.25,530.55,1294013,526.14856
1547,03-03-2006,WIPRO,532.0,532.0,522.25,529.7,942714,529.8299
1548,06-03-2006,WIPRO,531.0,534.8,525.05,528.65,489850,530.0651
1549,07-03-2006,WIPRO,530.0,530.0,520.1,522.9,907771,529.2355
1550,08-03-2006,WIPRO,523.0,523.0,505.0,507.4,1372267,525.84625
1551,09-03-2006,WIPRO,510.0,514.0,497.25,511.45,1187375,515.7976
1552,10-03-2006,WIPRO,513.0,522.9,508.25,520.4,1085297,513.0074
1553,13-03-2006,WIPRO,521.0,534.0,483.65,532.4,1484706,519.0347
1554,14-03-2006,WIPRO,540.0,540.0,518.5,521.65,785217,528.2571
1555,16-03-2006,WIPRO,524.9,524.9,515.55,517.4,883078,526.3795
1556,17-03-2006,WIPRO,524.9,524.9,519.0,520.4,586545,520.6959
1557,20-03-2006,WIPRO,524.0,546.75,522.0,544.3,1842443,520.9313
1558,21-03-2006,WIPRO,541.0,550.0,528.0,532.2,825754,534.5857
1559,22-03-2006,WIPRO,530.0,541.1,518.6,522.4,1027217,535.79144
1560,23-03-2006,WIPRO,527.7,528.7,520.05,522.85,790647,526.71387
1561,24-03-2006,WIPRO,528.0,534.85,522.05,531.35,516345,523.8252
1562,27-03-2006,WIPRO,535.0,535.0,518.1,520.15,923272,528.4819
1563,28-03-2006,WIPRO,526.0,533.0,522.35,529.05,799829,525.24817
